Machine Name,Lloyd LRX ,P40-HDO Undamaged,1,,,2,,,3,,,P40-HDO 3 hr Healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.47,0,,-0.54,0,,-0.45,-0.01,,,0,-0.02,,-0.55,0,,-0.27,-0.01
,,,122.48,0.51,,192.66,0.74,,108.46,0.6,,,55.3,0.4,,75.06,0.46,,63.95,0.37
,,,123.67,0.51,,194.47,0.74,,109.61,0.6,,,55.9,0.4,,75.84,0.46,,64.63,0.38
,,,124.86,0.51,,196.28,0.74,,110.76,0.61,,,56.5,0.4,,76.62,0.47,,65.3,0.38
,,,126.06,0.51,,198.09,0.74,,111.9,0.61,,,57.11,0.4,,77.39,0.47,,65.98,0.38
,,,127.25,0.52,,199.9,0.74,,113.05,0.61,,,57.71,0.4,,78.17,0.47,,66.66,0.38
,,,128.45,0.52,,201.71,0.75,,114.2,0.62,,,58.31,0.41,,78.95,0.47,,67.34,0.38
,,,129.64,0.52,,203.52,0.75,,115.35,0.62,,,58.92,0.41,,79.73,0.48,,68.02,0.38
,,,130.84,0.52,,205.33,0.75,,116.5,0.62,,,59.52,0.41,,80.51,0.48,,68.69,0.39
,,,132.03,0.52,,207.14,0.75,,117.65,0.63,,,60.12,0.41,,81.29,0.48,,69.37,0.39
,,,133.22,0.52,,208.95,0.76,,118.8,0.63,,,60.73,0.41,,82.07,0.48,,70.05,0.39
,,,134.42,0.53,,210.75,0.76,,119.95,0.63,,,61.33,0.42,,82.84,0.49,,70.73,0.39
,,,135.61,0.53,,212.56,0.76,,121.1,0.63,,,61.93,0.42,,83.62,0.49,,71.4,0.39
,,,136.81,0.53,,214.37,0.76,,122.25,0.64,,,62.53,0.42,,84.4,0.49,,72.08,0.4
