Machine Name ,Perkin-Elmer Spectrum 100,,P35,,,P40,,,P45,
,Attenuated total reflectance mode in the region of 4000?650 cm?1. 16 scans were done with a resolution of 4 cm?1,,Wavenumber / cm-1,Transmittance ,,Wavenumber / cm-1,Transmittance ,,Wavenumber / cm-1,Transmittance 
,,,3740,99.32,,3740,149.39,,3740,205.07
,,,3739,99.33,,3739,149.39,,3739,205.08
,,,3738,99.33,,3738,149.4,,3738,205.08
,,,3737,99.33,,3737,149.4,,3737,205.08
,,,3736,99.32,,3736,149.39,,3736,205.08
,,,3735,99.3,,3735,149.39,,3735,205.08
,,,3734,99.29,,3734,149.39,,3734,205.08
,,,3733,99.28,,3733,149.39,,3733,205.07
,,,3732,99.28,,3732,149.4,,3732,205.06
,,,3731,99.29,,3731,149.4,,3731,205.06
,,,3730,99.29,,3730,149.4,,3730,205.06
,,,3729,99.3,,3729,149.4,,3729,205.06
,,,3728,99.3,,3728,149.41,,3728,205.06
,,,3727,99.31,,3727,149.42,,3727,205.06
,,,3726,99.31,,3726,149.43,,3726,205.06
,,,3725,99.31,,3725,149.44,,3725,205.07
,,,3724,99.32,,3724,149.44,,3724,205.08
,,,3723,99.33,,3723,149.44,,3723,205.1
,,,3722,99.35,,3722,149.44,,3722,205.11
,,,3721,99.36,,3721,149.44,,3721,205.12
,,,3720,99.36,,3720,149.43,,3720,205.12
,,,3719,99.34,,3719,149.42,,3719,205.1
,,,3718,99.33,,3718,149.41,,3718,205.08
,,,3717,99.31,,3717,149.39,,3717,205.05
,,,3716,99.31,,3716,149.37,,3716,205.03
,,,3715,99.3,,3715,149.36,,3715,205.02
,,,3714,99.3,,3714,149.35,,3714,205.02
,,,3713,99.29,,3713,149.34,,3713,205.02
,,,3712,99.29,,3712,149.32,,3712,205.02
,,,3711,99.29,,3711,149.32,,3711,205.02
,,,3710,99.29,,3710,149.33,,3710,205.03
,,,3709,99.29,,3709,149.34,,3709,205.03
,,,3708,99.29,,3708,149.35,,3708,205.03
,,,3707,99.29,,3707,149.35,,3707,205.02
,,,3706,99.29,,3706,149.36,,3706,205.03
,,,3705,99.29,,3705,149.37,,3705,205.03
,,,3704,99.31,,3704,149.37,,3704,205.05
,,,3703,99.32,,3703,149.38,,3703,205.07
,,,3702,99.33,,3702,149.38,,3702,205.07
,,,3701,99.33,,3701,149.38,,3701,205.07
,,,3700,99.32,,3700,149.38,,3700,205.06
,,,3699,99.3,,3699,149.37,,3699,205.05
,,,3698,99.29,,3698,149.35,,3698,205.03
,,,3697,99.27,,3697,149.33,,3697,205.01
,,,3696,99.25,,3696,149.3,,3696,204.98
,,,3695,99.23,,3695,149.29,,3695,204.96
,,,3694,99.23,,3694,149.29,,3694,204.95
,,,3693,99.23,,3693,149.3,,3693,204.96
,,,3692,99.25,,3692,149.31,,3692,204.97
,,,3691,99.25,,3691,149.31,,3691,204.99
,,,3690,99.25,,3690,149.29,,3690,204.98
,,,3689,99.24,,3689,149.28,,3689,204.97
,,,3688,99.23,,3688,149.28,,3688,204.95
,,,3687,99.22,,3687,149.29,,3687,204.94
,,,3686,99.23,,3686,149.3,,3686,204.94
,,,3685,99.24,,3685,149.3,,3685,204.95
,,,3684,99.25,,3684,149.3,,3684,204.95
,,,3683,99.25,,3683,149.3,,3683,204.94
,,,3682,99.25,,3682,149.28,,3682,204.93
,,,3681,99.24,,3681,149.27,,3681,204.92
,,,3680,99.23,,3680,149.26,,3680,204.91
,,,3679,99.21,,3679,149.26,,3679,204.89
,,,3678,99.2,,3678,149.25,,3678,204.9
,,,3677,99.2,,3677,149.25,,3677,204.91
,,,3676,99.21,,3676,149.24,,3676,204.93
,,,3675,99.22,,3675,149.25,,3675,204.93
,,,3674,99.21,,3674,149.25,,3674,204.92
,,,3673,99.21,,3673,149.26,,3673,204.92
,,,3672,99.22,,3672,149.27,,3672,204.93
,,,3671,99.23,,3671,149.27,,3671,204.93
,,,3670,99.24,,3670,149.28,,3670,204.92
,,,3669,99.24,,3669,149.28,,3669,204.92
,,,3668,99.24,,3668,149.29,,3668,204.92
,,,3667,99.25,,3667,149.29,,3667,204.92
,,,3666,99.26,,3666,149.29,,3666,204.92
,,,3665,99.26,,3665,149.28,,3665,204.92
,,,3664,99.27,,3664,149.28,,3664,204.92
,,,3663,99.27,,3663,149.27,,3663,204.92
,,,3662,99.27,,3662,149.27,,3662,204.91
,,,3661,99.26,,3661,149.26,,3661,204.9
,,,3660,99.26,,3660,149.26,,3660,204.88
,,,3659,99.26,,3659,149.25,,3659,204.87
,,,3658,99.26,,3658,149.25,,3658,204.87
,,,3657,99.25,,3657,149.25,,3657,204.87
,,,3656,99.25,,3656,149.24,,3656,204.87
,,,3655,99.22,,3655,149.22,,3655,204.85
,,,3654,99.2,,3654,149.2,,3654,204.84
,,,3653,99.18,,3653,149.18,,3653,204.84
,,,3652,99.17,,3652,149.17,,3652,204.83
,,,3651,99.16,,3651,149.17,,3651,204.83
,,,3650,99.16,,3650,149.17,,3650,204.83
,,,3649,99.15,,3649,149.16,,3649,204.83
,,,3648,99.15,,3648,149.16,,3648,204.83
,,,3647,99.16,,3647,149.17,,3647,204.83
,,,3646,99.17,,3646,149.18,,3646,204.84
,,,3645,99.19,,3645,149.19,,3645,204.85
,,,3644,99.2,,3644,149.19,,3644,204.85
,,,3643,99.21,,3643,149.19,,3643,204.85
,,,3642,99.22,,3642,149.18,,3642,204.84
,,,3641,99.21,,3641,149.17,,3641,204.83
,,,3640,99.2,,3640,149.16,,3640,204.82
,,,3639,99.19,,3639,149.14,,3639,204.81
,,,3638,99.19,,3638,149.13,,3638,204.8
,,,3637,99.19,,3637,149.13,,3637,204.8
,,,3636,99.19,,3636,149.13,,3636,204.8
,,,3635,99.19,,3635,149.13,,3635,204.8
,,,3634,99.19,,3634,149.14,,3634,204.8
,,,3633,99.18,,3633,149.14,,3633,204.79
,,,3632,99.17,,3632,149.14,,3632,204.77
,,,3631,99.15,,3631,149.12,,3631,204.76
,,,3630,99.13,,3630,149.1,,3630,204.75
,,,3629,99.13,,3629,149.09,,3629,204.74
,,,3628,99.12,,3628,149.09,,3628,204.74
,,,3627,99.13,,3627,149.1,,3627,204.76
,,,3626,99.13,,3626,149.1,,3626,204.78
,,,3625,99.14,,3625,149.09,,3625,204.78
,,,3624,99.14,,3624,149.08,,3624,204.78
,,,3623,99.14,,3623,149.07,,3623,204.77
,,,3622,99.14,,3622,149.07,,3622,204.78
,,,3621,99.15,,3621,149.06,,3621,204.78
,,,3620,99.15,,3620,149.05,,3620,204.79
,,,3619,99.15,,3619,149.04,,3619,204.79
,,,3618,99.13,,3618,149.03,,3618,204.77
,,,3617,99.12,,3617,149.01,,3617,204.75
,,,3616,99.1,,3616,149,,3616,204.73
,,,3615,99.1,,3615,148.99,,3615,204.72
,,,3614,99.11,,3614,148.99,,3614,204.72
,,,3613,99.12,,3613,149,,3613,204.72
,,,3612,99.12,,3612,149,,3612,204.72
,,,3611,99.12,,3611,148.99,,3611,204.71
,,,3610,99.12,,3610,148.98,,3610,204.71
,,,3609,99.12,,3609,148.97,,3609,204.71
,,,3608,99.12,,3608,148.97,,3608,204.71
,,,3607,99.12,,3607,148.98,,3607,204.71
,,,3606,99.11,,3606,148.98,,3606,204.71
,,,3605,99.11,,3605,148.97,,3605,204.7
,,,3604,99.1,,3604,148.96,,3604,204.7
,,,3603,99.1,,3603,148.95,,3603,204.7
,,,3602,99.1,,3602,148.94,,3602,204.69
,,,3601,99.1,,3601,148.92,,3601,204.69
,,,3600,99.1,,3600,148.91,,3600,204.69
,,,3599,99.09,,3599,148.9,,3599,204.68
,,,3598,99.09,,3598,148.9,,3598,204.68
,,,3597,99.09,,3597,148.89,,3597,204.68
,,,3596,99.08,,3596,148.87,,3596,204.67
,,,3595,99.08,,3595,148.86,,3595,204.66
,,,3594,99.06,,3594,148.85,,3594,204.65
,,,3593,99.05,,3593,148.85,,3593,204.64
,,,3592,99.04,,3592,148.84,,3592,204.63
,,,3591,99.03,,3591,148.84,,3591,204.62
,,,3590,99.03,,3590,148.84,,3590,204.62
,,,3589,99.04,,3589,148.83,,3589,204.62
,,,3588,99.04,,3588,148.82,,3588,204.62
,,,3587,99.04,,3587,148.82,,3587,204.62
,,,3586,99.04,,3586,148.82,,3586,204.62
,,,3585,99.04,,3585,148.82,,3585,204.62
,,,3584,99.04,,3584,148.82,,3584,204.62
,,,3583,99.04,,3583,148.82,,3583,204.62
,,,3582,99.04,,3582,148.81,,3582,204.61
,,,3581,99.04,,3581,148.8,,3581,204.61
,,,3580,99.04,,3580,148.79,,3580,204.61
,,,3579,99.03,,3579,148.77,,3579,204.6
,,,3578,99.02,,3578,148.75,,3578,204.59
,,,3577,99.01,,3577,148.74,,3577,204.58
,,,3576,99,,3576,148.72,,3576,204.56
,,,3575,99,,3575,148.72,,3575,204.55
,,,3574,98.99,,3574,148.72,,3574,204.54
,,,3573,98.98,,3573,148.71,,3573,204.53
,,,3572,98.96,,3572,148.7,,3572,204.51
,,,3571,98.94,,3571,148.69,,3571,204.5
,,,3570,98.94,,3570,148.67,,3570,204.48
,,,3569,98.94,,3569,148.66,,3569,204.48
,,,3568,98.95,,3568,148.65,,3568,204.48
,,,3567,98.95,,3567,148.65,,3567,204.48
,,,3566,98.95,,3566,148.65,,3566,204.48
,,,3565,98.94,,3565,148.65,,3565,204.48
,,,3564,98.93,,3564,148.65,,3564,204.47
,,,3563,98.93,,3563,148.64,,3563,204.47
,,,3562,98.93,,3562,148.63,,3562,204.46
,,,3561,98.94,,3561,148.63,,3561,204.46
,,,3560,98.94,,3560,148.63,,3560,204.46
,,,3559,98.94,,3559,148.63,,3559,204.46
,,,3558,98.93,,3558,148.63,,3558,204.45
,,,3557,98.92,,3557,148.62,,3557,204.45
,,,3556,98.92,,3556,148.61,,3556,204.44
,,,3555,98.91,,3555,148.59,,3555,204.43
,,,3554,98.9,,3554,148.58,,3554,204.42
,,,3553,98.89,,3553,148.56,,3553,204.41
,,,3552,98.89,,3552,148.55,,3552,204.4
,,,3551,98.88,,3551,148.54,,3551,204.39
,,,3550,98.88,,3550,148.53,,3550,204.37
,,,3549,98.88,,3549,148.52,,3549,204.36
,,,3548,98.87,,3548,148.52,,3548,204.35
,,,3547,98.87,,3547,148.52,,3547,204.34
,,,3546,98.87,,3546,148.52,,3546,204.34
,,,3545,98.87,,3545,148.52,,3545,204.35
,,,3544,98.87,,3544,148.52,,3544,204.36
,,,3543,98.87,,3543,148.52,,3543,204.36
,,,3542,98.87,,3542,148.51,,3542,204.35
,,,3541,98.87,,3541,148.5,,3541,204.34
,,,3540,98.86,,3540,148.49,,3540,204.33
,,,3539,98.85,,3539,148.47,,3539,204.31
,,,3538,98.83,,3538,148.45,,3538,204.3
,,,3537,98.82,,3537,148.43,,3537,204.28
,,,3536,98.8,,3536,148.41,,3536,204.27
,,,3535,98.8,,3535,148.41,,3535,204.27
,,,3534,98.8,,3534,148.41,,3534,204.27
,,,3533,98.8,,3533,148.41,,3533,204.27
,,,3532,98.8,,3532,148.4,,3532,204.26
,,,3531,98.79,,3531,148.38,,3531,204.25
,,,3530,98.77,,3530,148.35,,3530,204.23
,,,3529,98.75,,3529,148.31,,3529,204.21
,,,3528,98.73,,3528,148.29,,3528,204.2
,,,3527,98.73,,3527,148.28,,3527,204.19
,,,3526,98.73,,3526,148.28,,3526,204.18
,,,3525,98.73,,3525,148.28,,3525,204.17
,,,3524,98.72,,3524,148.28,,3524,204.16
,,,3523,98.71,,3523,148.28,,3523,204.15
,,,3522,98.71,,3522,148.27,,3522,204.15
,,,3521,98.71,,3521,148.27,,3521,204.15
,,,3520,98.71,,3520,148.26,,3520,204.14
,,,3519,98.7,,3519,148.26,,3519,204.14
,,,3518,98.7,,3518,148.25,,3518,204.14
,,,3517,98.69,,3517,148.25,,3517,204.14
,,,3516,98.69,,3516,148.25,,3516,204.14
,,,3515,98.69,,3515,148.25,,3515,204.14
,,,3514,98.69,,3514,148.24,,3514,204.13
,,,3513,98.68,,3513,148.22,,3513,204.1
,,,3512,98.67,,3512,148.2,,3512,204.08
,,,3511,98.66,,3511,148.18,,3511,204.06
,,,3510,98.65,,3510,148.16,,3510,204.05
,,,3509,98.65,,3509,148.14,,3509,204.04
,,,3508,98.65,,3508,148.13,,3508,204.04
,,,3507,98.64,,3507,148.12,,3507,204.03
,,,3506,98.63,,3506,148.11,,3506,204.02
,,,3505,98.62,,3505,148.1,,3505,204.01
,,,3504,98.61,,3504,148.08,,3504,203.99
,,,3503,98.59,,3503,148.06,,3503,203.97
,,,3502,98.58,,3502,148.05,,3502,203.96
,,,3501,98.58,,3501,148.04,,3501,203.95
,,,3500,98.58,,3500,148.04,,3500,203.94
,,,3499,98.58,,3499,148.03,,3499,203.94
,,,3498,98.57,,3498,148.02,,3498,203.93
,,,3497,98.56,,3497,148,,3497,203.92
,,,3496,98.54,,3496,147.98,,3496,203.9
,,,3495,98.53,,3495,147.97,,3495,203.89
,,,3494,98.51,,3494,147.96,,3494,203.87
,,,3493,98.51,,3493,147.95,,3493,203.86
,,,3492,98.51,,3492,147.94,,3492,203.85
,,,3491,98.52,,3491,147.94,,3491,203.85
,,,3490,98.53,,3490,147.94,,3490,203.85
,,,3489,98.53,,3489,147.93,,3489,203.85
,,,3488,98.51,,3488,147.91,,3488,203.84
,,,3487,98.49,,3487,147.89,,3487,203.82
