Machine Name,Lloyd LRX ,,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,103.18,2.25,,106.92,3.02,,100.41,2.58
,,,103.48,2.25,,107.27,3.02,,100.71,2.58
,,,103.79,2.25,,107.63,3.03,,101.01,2.58
,,,104.09,2.25,,107.98,3.03,,101.3,2.59
,,,104.4,2.26,,108.33,3.03,,101.6,2.59
,,,104.7,2.26,,108.68,3.03,,101.9,2.59
,,,105.01,2.26,,109.03,3.03,,102.2,2.59
,,,105.32,2.26,,109.38,3.04,,102.49,2.6
,,,105.62,2.27,,109.73,3.04,,102.79,2.6
,,,105.93,2.27,,110.08,3.04,,103.09,2.6
,,,106.23,2.27,,110.43,3.04,,103.38,2.6
,,,106.54,2.27,,110.78,3.04,,103.68,2.61
,,,106.84,2.28,,111.13,3.05,,103.98,2.61
,,,107.15,2.28,,111.48,3.05,,104.28,2.61
,,,107.45,2.28,,111.83,3.05,,104.57,2.61
,,,107.76,2.28,,112.18,3.05,,104.87,2.62
,,,108.07,2.29,,112.53,3.06,,105.17,2.62
,,,108.37,2.29,,112.89,3.06,,105.47,2.62
,,,108.68,2.29,,113.24,3.06,,105.76,2.62
,,,108.98,2.3,,113.59,3.06,,106.06,2.63
,,,109.29,2.3,,113.94,3.06,,106.36,2.63
,,,109.59,2.3,,114.29,3.06,,106.66,2.63
,,,109.9,2.3,,114.64,3.07,,106.95,2.63
,,,110.2,2.31,,114.99,3.07,,107.25,2.64
,,,110.51,2.31,,115.34,3.07,,107.55,2.64
,,,110.82,2.31,,115.69,3.07,,107.84,2.64
,,,111.12,2.31,,116.04,3.07,,108.14,2.64
,,,111.43,2.32,,116.39,3.08,,108.44,2.65
,,,111.73,2.32,,116.74,3.08,,108.74,2.65
,,,112.04,2.32,,117.09,3.08,,109.03,2.65
,,,112.34,2.32,,117.44,3.08,,109.33,2.65
,,,112.65,2.33,,117.79,3.08,,109.63,2.66
,,,112.96,2.33,,118.14,3.08,,109.93,2.66
,,,113.26,2.33,,118.5,3.09,,110.22,2.66
,,,113.57,2.33,,118.85,3.09,,110.52,2.66
,,,113.87,2.34,,119.2,3.09,,110.82,2.67
,,,114.18,2.34,,119.55,3.09,,111.12,2.67
,,,114.48,2.34,,119.9,3.09,,111.41,2.67
,,,114.79,2.34,,120.25,3.09,,111.71,2.67
,,,115.1,2.35,,120.6,3.1,,112.01,2.68
,,,115.4,2.35,,120.95,3.1,,112.3,2.68
,,,115.71,2.35,,121.3,3.1,,112.6,2.68
,,,116.01,2.35,,121.65,3.1,,112.9,2.68
,,,116.32,2.36,,122,3.1,,113.2,2.69
,,,116.62,2.36,,122.35,3.11,,113.49,2.69
,,,116.93,2.36,,122.7,3.11,,113.79,2.69
,,,117.24,2.37,,123.05,3.11,,114.09,2.69
,,,117.54,2.37,,123.4,3.11,,114.39,2.69
,,,117.85,2.37,,123.76,3.11,,114.68,2.7
,,,118.15,2.37,,124.11,3.11,,114.98,2.7
,,,118.46,2.38,,124.46,3.12,,115.28,2.7
