Machine Name,Bruker Avance III HD 600 MHz,,P40 - H NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 64 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,0.67,25170.39
,,,0.67,25513.38
,,,0.67,25736.44
,,,0.67,25692.42
,,,0.67,25732.38
,,,0.67,26737.55
,,,0.67,27034.14
,,,0.67,26801.75
,,,0.67,27185.89
,,,0.67,27262.39
,,,0.68,26707.59
,,,0.68,26602.55
,,,0.68,26840.77
,,,0.68,27143.86
,,,0.68,27089.23
,,,0.68,27085.06
,,,0.68,27559.72
,,,0.68,27425.48
,,,0.68,27491.31
,,,0.68,27523.94
,,,0.68,27142.3
,,,0.68,27269.27
,,,0.68,27471.89
,,,0.68,27680.92
,,,0.68,28120.72
,,,0.68,28344.56
,,,0.69,28166.38
,,,0.69,28842.61
,,,0.69,29365.17
,,,0.69,29176.13
,,,0.69,29116.08
,,,0.69,28882.95
,,,0.69,29247.33
,,,0.69,29487.2
,,,0.69,29712.36
,,,0.69,30047.66
,,,0.69,30366.75
,,,0.69,30176.11
,,,0.69,29817.19
,,,0.69,29915.58
,,,0.69,30225.84
,,,0.69,30998.78
,,,0.7,31409.05
,,,0.7,31160.69
,,,0.7,31540.08
,,,0.7,32176.89
,,,0.7,31993.19
,,,0.7,32243.56
,,,0.7,32854.77
,,,0.7,33659.84
,,,0.7,33540.61
,,,0.7,33607.34
,,,0.7,34499.34
,,,0.7,34710.98
,,,0.7,35037.94
,,,0.7,35538.7
,,,0.7,35899.08
,,,0.7,36266.31
,,,0.71,36698.2
,,,0.71,36802.06
,,,0.71,37164.55
,,,0.71,37363.05
,,,0.71,37768.94
,,,0.71,37444.64
,,,0.71,37496.13
,,,0.71,37790.14
,,,0.71,38015.52
,,,0.71,38271.28
,,,0.71,38066.88
,,,0.71,38154.2
,,,0.71,38296.27
,,,0.71,38392.94
,,,0.71,38793.2
,,,0.71,39381.98
,,,0.72,39586.52
,,,0.72,40295.67
,,,0.72,40355.55
,,,0.72,40724.7
,,,0.72,40856.88
,,,0.72,41803.97
,,,0.72,42908.22
,,,0.72,43612.86
,,,0.72,44273.64
,,,0.72,45143.11
,,,0.72,46352.58
,,,0.72,47702.91
,,,0.72,48659.59
,,,0.72,49863.03
,,,0.72,51232.73
,,,0.72,51776.06
