Machine Name,Lloyd LRX ,P35-1,,,P35-2,,,P35-3,,,P35-4,,,P40-1,,,P40-2,,,P40-3,,,P40-4,,,P45-1,,,P45-2,,,P45-3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,1358.57,0.26,,978.15,0.15,,1137.45,0.24,,1162.94,0.4,,724.51,0.37,,,,,872.84,0.3,,737.79,0.31,,600.05,0.48,,600.68,0.47,,565.32,0.36
,,1361.91,0.26,,980.58,0.15,,1140.26,0.24,,1165.81,0.4,,726.31,0.37,,,,,875.01,0.3,,739.63,0.31,,601.55,0.48,,602.18,0.47,,566.74,0.36
,,1365.25,0.26,,983.01,0.15,,1143.07,0.24,,1168.67,0.4,,728.11,0.37,,,,,877.17,0.3,,741.47,0.31,,603.05,0.48,,603.68,0.47,,568.15,0.36
,,1368.58,0.26,,985.43,0.15,,1145.88,0.24,,1171.54,0.4,,729.91,0.37,,,,,879.34,0.3,,743.31,0.31,,604.54,0.48,,605.19,0.47,,569.56,0.36
,,1371.92,0.26,,987.86,0.15,,1148.69,0.24,,1174.41,0.4,,731.71,0.37,,,,,881.5,0.3,,745.15,0.31,,606.04,0.48,,606.69,0.47,,570.97,0.36
,,1375.26,0.26,,990.29,0.15,,1151.5,0.24,,1177.28,0.4,,733.51,0.37,,,,,883.67,0.3,,746.99,0.31,,607.54,0.48,,608.19,0.47,,572.39,0.36
,,1378.6,0.26,,992.71,0.15,,1154.31,0.24,,1180.15,0.4,,735.31,0.37,,,,,885.84,0.3,,748.83,0.31,,609.04,0.48,,609.7,0.47,,573.8,0.36
,,1381.93,0.26,,995.14,0.15,,1157.12,0.24,,1183.02,0.4,,737.1,0.37,,,,,888,0.3,,750.67,0.31,,610.54,0.48,,611.2,0.47,,575.21,0.36
,,1385.27,0.26,,997.57,0.15,,1159.93,0.24,,1185.89,0.4,,738.9,0.37,,,,,890.17,0.3,,752.51,0.31,,612.03,0.48,,612.7,0.47,,576.63,0.36
,,1388.61,0.26,,1000,0.15,,1162.74,0.24,,1188.76,0.4,,740.71,0.37,,,,,892.33,0.3,,754.35,0.31,,613.53,0.48,,614.21,0.47,,578.04,0.36
,,1391.95,0.26,,1002.42,0.15,,1165.55,0.24,,1191.63,0.4,,742.53,0.37,,,,,894.5,0.3,,756.19,0.31,,615.04,0.48,,615.71,0.47,,579.45,0.36
,,1395.28,0.26,,1004.85,0.15,,1168.36,0.25,,1194.5,0.4,,744.34,0.37,,,,,896.67,0.3,,758.03,0.31,,616.54,0.48,,617.21,0.48,,580.86,0.36
,,1398.62,0.26,,1007.28,0.15,,1171.17,0.25,,1197.37,0.4,,746.16,0.37,,,,,898.83,0.3,,759.87,0.31,,618.04,0.48,,618.72,0.48,,582.28,0.36
,,1401.96,0.26,,1009.7,0.15,,1173.98,0.25,,1200.24,0.4,,747.98,0.38,,,,,901,0.3,,761.71,0.31,,619.54,0.48,,620.22,0.48,,583.69,0.36
,,1405.3,0.26,,1012.13,0.15,,1176.79,0.25,,1203.07,0.4,,749.79,0.38,,,,,903.16,0.3,,763.55,0.31,,621.04,0.49,,621.73,0.48,,585.1,0.36
,,1408.64,0.26,,1014.56,0.15,,1179.6,0.25,,1205.86,0.4,,751.6,0.38,,,,,905.33,0.3,,765.4,0.31,,622.54,0.49,,623.23,0.48,,586.51,0.36
,,1411.98,0.26,,1016.98,0.15,,1182.41,0.25,,1208.73,0.4,,753.4,0.38,,,,,907.5,0.3,,767.24,0.31,,624.04,0.49,,624.74,0.48,,587.92,0.36
,,1415.32,0.26,,1019.41,0.15,,1185.22,0.25,,1211.6,0.4,,755.2,0.38,,,,,909.66,0.3,,769.08,0.31,,625.55,0.49,,626.25,0.48,,589.33,0.36
,,1418.65,0.26,,1021.84,0.15,,1188.03,0.25,,1214.46,0.4,,757,0.38,,,,,911.83,0.3,,770.92,0.31,,627.05,0.49,,627.75,0.48,,590.74,0.36
,,1421.99,0.26,,1024.27,0.15,,1190.83,0.25,,1217.33,0.4,,758.8,0.38,,,,,913.99,0.3,,772.76,0.31,,628.55,0.49,,629.26,0.48,,592.15,0.36
,,1425.33,0.26,,1026.69,0.15,,1193.64,0.25,,1220.19,0.4,,760.6,0.38,,,,,916.16,0.3,,774.61,0.31,,630.05,0.49,,630.76,0.48,,593.56,0.36
,,1428.67,0.26,,1029.12,0.15,,1196.45,0.25,,1223.06,0.4,,762.4,0.38,,,,,918.32,0.3,,776.45,0.31,,631.55,0.49,,632.27,0.48,,594.96,0.36
,,1432.01,0.26,,1031.55,0.15,,1199.26,0.25,,1225.93,0.4,,764.2,0.38,,,,,920.49,0.3,,778.29,0.31,,633.05,0.49,,633.78,0.48,,596.37,0.36
,,1435.35,0.26,,1033.97,0.15,,1202.07,0.25,,1228.79,0.4,,766,0.38,,,,,922.66,0.3,,780.13,0.31,,634.55,0.49,,635.28,0.48,,597.78,0.37
,,1438.69,0.26,,1036.4,0.15,,1204.88,0.25,,1231.66,0.4,,767.8,0.38,,,,,924.82,0.3,,781.98,0.31,,636.06,0.49,,636.79,0.48,,599.19,0.37
,,1442.02,0.26,,1038.83,0.15,,1207.69,0.25,,1234.52,0.4,,769.6,0.38,,,,,926.99,0.3,,783.82,0.31,,637.56,0.49,,638.3,0.48,,600.6,0.37
,,1445.36,0.26,,1041.25,0.15,,1210.5,0.25,,1237.39,0.4,,771.4,0.38,,,,,929.15,0.3,,785.66,0.31,,639.06,0.49,,639.8,0.48,,602.01,0.37
,,1448.7,0.26,,1043.68,0.15,,1213.31,0.25,,1240.26,0.4,,773.2,0.38,,,,,931.32,0.3,,787.5,0.31,,640.56,0.49,,641.31,0.48,,603.41,0.37
,,1452.04,0.26,,1046.11,0.15,,1216.12,0.25,,1243.12,0.4,,775,0.38,,,,,933.49,0.3,,789.34,0.31,,642.06,0.49,,642.82,0.48,,604.82,0.37
,,1455.38,0.26,,1048.54,0.15,,1218.93,0.25,,1245.99,0.4,,776.8,0.38,,,,,935.65,0.3,,791.19,0.31,,643.57,0.49,,644.32,0.48,,606.23,0.37
,,1458.72,0.26,,1050.96,0.15,,1221.74,0.25,,1248.86,0.4,,778.6,0.38,,,,,937.82,0.3,,793.03,0.31,,645.07,0.49,,645.83,0.48,,607.64,0.37
,,1462.06,0.26,,1053.39,0.15,,1224.55,0.25,,1251.72,0.4,,780.4,0.38,,,,,939.98,0.3,,794.87,0.31,,646.57,0.49,,647.34,0.48,,609.05,0.37
,,1465.39,0.26,,1055.82,0.15,,1227.36,0.25,,1254.59,0.4,,782.2,0.38,,,,,942.15,0.3,,796.71,0.31,,648.07,0.49,,648.84,0.48,,610.45,0.37
,,1468.75,0.26,,1058.24,0.15,,1230.17,0.25,,1257.45,0.4,,784,0.38,,,,,944.32,0.3,,798.56,0.31,,649.57,0.49,,650.35,0.48,,611.86,0.37
,,1472.11,0.26,,1060.67,0.15,,1232.98,0.25,,1260.41,0.4,,785.79,0.38,,,,,946.48,0.3,,800.4,0.31,,651.08,0.5,,651.86,0.49,,613.27,0.37
,,1475.45,0.26,,1063.1,0.15,,1235.79,0.25,,1263.31,0.4,,787.59,0.38,,,,,948.65,0.3,,802.24,0.31,,652.58,0.5,,653.36,0.49,,614.69,0.37
,,1478.79,0.26,,1065.52,0.15,,1238.6,0.25,,1266.18,0.4,,789.39,0.38,,,,,950.81,0.3,,804.08,0.31,,654.08,0.5,,654.87,0.49,,616.1,0.37
,,1482.13,0.26,,1067.95,0.15,,1241.41,0.25,,1269.05,0.4,,791.19,0.38,,,,,952.98,0.3,,805.92,0.31,,655.58,0.5,,656.37,0.49,,617.51,0.37
,,1485.47,0.26,,1070.4,0.15,,1244.22,0.25,,1271.92,0.4,,792.99,0.38,,,,,955.14,0.3,,807.77,0.31,,657.09,0.5,,657.88,0.49,,618.93,0.37
,,1488.81,0.26,,1072.84,0.15,,1247.03,0.25,,1274.78,0.4,,794.79,0.38,,,,,957.31,0.3,,809.61,0.31,,658.59,0.5,,659.39,0.49,,620.34,0.37
,,1492.15,0.26,,1075.27,0.15,,1249.84,0.25,,1277.65,0.4,,796.59,0.38,,,,,959.48,0.3,,811.45,0.31,,660.09,0.5,,660.89,0.49,,621.75,0.37
,,1495.49,0.26,,1077.7,0.15,,1252.66,0.25,,1280.52,0.4,,798.39,0.38,,,,,961.64,0.3,,813.29,0.31,,661.59,0.5,,662.4,0.49,,623.16,0.37
,,1498.83,0.26,,1080.13,0.15,,1255.47,0.25,,1283.39,0.4,,800.19,0.38,,,,,963.81,0.3,,815.14,0.31,,663.09,0.5,,663.91,0.49,,624.58,0.37
,,1502.17,0.26,,1082.56,0.15,,1258.28,0.25,,1286.25,0.4,,801.99,0.39,,,,,965.97,0.3,,816.98,0.31,,664.6,0.5,,665.41,0.49,,625.99,0.37
,,1505.51,0.26,,1084.98,0.15,,1261.09,0.25,,1289.12,0.41,,803.79,0.39,,,,,968.14,0.3,,818.82,0.31,,666.1,0.5,,666.92,0.49,,627.4,0.37
,,1508.85,0.26,,1087.41,0.15,,1263.9,0.25,,1291.99,0.41,,805.59,0.39,,,,,970.31,0.3,,820.66,0.31,,667.6,0.5,,668.43,0.49,,628.82,0.37
,,1512.19,0.26,,1089.84,0.15,,1266.71,0.25,,1294.86,0.41,,807.39,0.39,,,,,972.49,0.3,,822.51,0.32,,669.1,0.5,,669.93,0.49,,630.23,0.37
,,1515.53,0.26,,1092.27,0.15,,1269.52,0.25,,1297.72,0.41,,809.19,0.39,,,,,974.66,0.3,,824.35,0.32,,670.61,0.5,,671.44,0.49,,631.64,0.37
,,1518.87,0.26,,1094.7,0.15,,1272.33,0.25,,1300.59,0.41,,810.99,0.39,,,,,976.83,0.3,,826.19,0.32,,672.11,0.5,,672.95,0.49,,633.05,0.37
,,1522.21,0.26,,1097.13,0.15,,1275.13,0.25,,1303.46,0.41,,812.79,0.39,,,,,979,0.3,,828.03,0.32,,673.61,0.5,,674.46,0.49,,634.47,0.37
,,1525.55,0.26,,1099.55,0.15,,1277.94,0.25,,1306.33,0.41,,814.59,0.39,,,,,981.17,0.3,,829.87,0.32,,675.11,0.5,,675.96,0.49,,635.88,0.37
,,1528.89,0.26,,1101.98,0.15,,1280.75,0.25,,1309.19,0.41,,816.39,0.39,,,,,983.34,0.3,,831.72,0.32,,676.62,0.5,,677.47,0.49,,637.29,0.37
,,1532.23,0.26,,1104.41,0.15,,1283.56,0.25,,1312.06,0.41,,818.19,0.39,,,,,985.52,0.3,,833.56,0.32,,678.12,0.5,,678.98,0.49,,638.71,0.37
,,1535.57,0.26,,1106.84,0.15,,1286.37,0.25,,1314.93,0.41,,819.99,0.39,,,,,987.69,0.3,,835.4,0.32,,679.62,0.5,,680.48,0.49,,640.12,0.37
,,1538.91,0.26,,1109.27,0.15,,1289.18,0.25,,1317.8,0.41,,821.8,0.39,,,,,989.86,0.3,,837.24,0.32,,681.12,0.5,,681.99,0.49,,641.53,0.37
,,1542.25,0.26,,1111.7,0.15,,1291.99,0.25,,1320.66,0.41,,823.6,0.39,,,,,992.03,0.3,,839.09,0.32,,682.62,0.51,,683.5,0.5,,642.94,0.37
,,1545.59,0.26,,1114.12,0.15,,1294.8,0.26,,1323.53,0.41,,825.41,0.39,,,,,994.2,0.3,,840.93,0.32,,684.12,0.51,,685.01,0.5,,644.36,0.37
,,1548.93,0.26,,1116.55,0.15,,1297.61,0.26,,1326.4,0.41,,827.22,0.39,,,,,996.37,0.3,,842.77,0.32,,685.63,0.51,,686.51,0.5,,645.77,0.37
,,1552.26,0.26,,1118.98,0.15,,1300.42,0.26,,1329.27,0.41,,829.03,0.39,,,,,998.54,0.3,,844.61,0.32,,687.13,0.51,,688.02,0.5,,647.18,0.37
,,1555.6,0.26,,1121.41,0.15,,1303.23,0.26,,1332.13,0.41,,830.83,0.39,,,,,1000.71,0.3,,846.46,0.32,,688.63,0.51,,689.53,0.5,,648.6,0.37
,,1558.94,0.26,,1123.84,0.15,,1306.03,0.26,,1335,0.41,,832.64,0.39,,,,,1002.88,0.3,,848.3,0.32,,690.13,0.51,,691.04,0.5,,650.01,0.37
,,1562.28,0.26,,1126.27,0.15,,1308.84,0.26,,1337.87,0.41,,834.45,0.39,,,,,1005.05,0.3,,850.14,0.32,,691.63,0.51,,692.54,0.5,,651.42,0.37
,,1565.62,0.26,,1128.69,0.15,,1311.65,0.26,,1340.74,0.41,,836.26,0.39,,,,,1007.21,0.3,,851.99,0.32,,693.13,0.51,,694.05,0.5,,652.83,0.38
,,1568.96,0.26,,1131.12,0.15,,1314.46,0.26,,1343.61,0.41,,838.06,0.39,,,,,1009.38,0.3,,853.83,0.32,,694.63,0.51,,695.56,0.5,,654.25,0.38
,,1572.3,0.26,,1133.55,0.15,,1317.27,0.26,,1346.47,0.41,,839.87,0.39,,,,,1011.54,0.3,,855.67,0.32,,696.13,0.51,,697.06,0.5,,655.66,0.38
,,1575.64,0.26,,1135.98,0.15,,1320.08,0.26,,1349.34,0.41,,841.68,0.39,,,,,1013.71,0.3,,857.51,0.32,,697.63,0.51,,698.57,0.5,,657.07,0.38
,,1578.98,0.26,,1138.41,0.15,,1322.89,0.26,,1352.21,0.41,,843.47,0.39,,,,,1015.88,0.3,,859.36,0.32,,699.13,0.51,,700.08,0.5,,658.49,0.38
,,1582.32,0.26,,1140.84,0.15,,1325.7,0.26,,1355.08,0.41,,845.27,0.39,,,,,1018.04,0.3,,861.2,0.32,,700.63,0.51,,701.58,0.5,,659.9,0.38
,,1585.66,0.26,,1143.26,0.15,,1328.51,0.26,,1357.95,0.41,,847.06,0.39,,,,,1020.21,0.3,,863.04,0.32,,702.13,0.51,,703.09,0.5,,661.31,0.38
,,1589,0.26,,1145.69,0.15,,1331.32,0.26,,1360.82,0.41,,848.86,0.39,,,,,1022.38,0.3,,864.89,0.32,,703.64,0.51,,704.6,0.5,,662.72,0.38
,,1592.34,0.26,,1148.12,0.15,,1334.12,0.26,,1363.69,0.41,,850.66,0.39,,,,,1024.54,0.3,,866.73,0.32,,705.14,0.51,,706.11,0.5,,664.14,0.38
,,1595.67,0.26,,1150.55,0.15,,1336.93,0.26,,1366.55,0.41,,852.45,0.39,,,,,1026.71,0.3,,868.57,0.32,,706.64,0.51,,707.61,0.5,,665.55,0.38
,,1599.01,0.26,,1152.98,0.15,,1339.74,0.26,,1369.42,0.41,,854.25,0.39,,,,,1028.88,0.3,,870.42,0.32,,708.14,0.51,,709.12,0.5,,666.96,0.38
,,1602.35,0.26,,1155.4,0.15,,1342.55,0.26,,1372.29,0.41,,856.04,0.39,,,,,1031.04,0.3,,872.26,0.32,,709.64,0.51,,710.63,0.5,,668.37,0.38
,,1605.69,0.26,,1157.83,0.15,,1345.36,0.26,,1375.16,0.41,,857.84,0.39,,,,,1033.21,0.3,,874.1,0.32,,711.14,0.51,,712.13,0.5,,669.79,0.38
,,1609.03,0.26,,1160.26,0.15,,1348.17,0.26,,1378.03,0.41,,859.64,0.39,,,,,1035.38,0.3,,875.94,0.32,,712.64,0.51,,713.64,0.5,,671.2,0.38
,,1612.37,0.26,,1162.69,0.15,,1350.98,0.26,,1380.9,0.41,,861.43,0.39,,,,,1037.54,0.3,,877.79,0.32,,714.14,0.52,,715.15,0.5,,672.61,0.38
,,1615.71,0.26,,1165.12,0.15,,1353.79,0.26,,1383.77,0.41,,863.23,0.4,,,,,1039.71,0.3,,879.63,0.32,,715.64,0.52,,716.65,0.51,,674.03,0.38
,,1619.05,0.26,,1167.55,0.15,,1356.6,0.26,,1386.63,0.41,,865.02,0.4,,,,,1041.88,0.3,,881.47,0.32,,717.14,0.52,,718.16,0.51,,675.44,0.38
,,1622.39,0.27,,1169.97,0.15,,1359.41,0.26,,1389.5,0.41,,866.82,0.4,,,,,1044.04,0.3,,883.32,0.32,,718.64,0.52,,719.67,0.51,,676.85,0.38
,,1625.73,0.27,,1172.4,0.15,,1362.21,0.26,,1392.37,0.41,,868.62,0.4,,,,,1046.21,0.3,,885.16,0.32,,720.14,0.52,,721.18,0.51,,678.26,0.38
,,1629.07,0.27,,1174.83,0.15,,1365.02,0.26,,1395.24,0.41,,870.41,0.4,,,,,1048.38,0.3,,887,0.32,,721.64,0.52,,722.68,0.51,,679.68,0.38
,,1632.4,0.27,,1177.26,0.15,,1367.83,0.26,,1398.11,0.41,,872.21,0.4,,,,,1050.54,0.3,,888.85,0.32,,723.15,0.52,,724.19,0.51,,681.09,0.38
,,1635.74,0.27,,1179.68,0.15,,1370.64,0.26,,1400.98,0.41,,874.01,0.4,,,,,1052.71,0.3,,890.69,0.32,,724.65,0.52,,725.7,0.51,,682.5,0.38
,,1639.08,0.27,,1182.11,0.15,,1373.45,0.26,,1403.85,0.41,,875.81,0.4,,,,,1054.88,0.3,,892.53,0.32,,726.15,0.52,,727.2,0.51,,683.92,0.38
,,1642.41,0.27,,1184.54,0.15,,1376.26,0.26,,1406.71,0.41,,877.61,0.4,,,,,1057.04,0.3,,894.37,0.32,,727.65,0.52,,728.71,0.51,,685.33,0.38
,,1645.75,0.27,,1186.96,0.15,,1379.07,0.26,,1409.58,0.41,,879.41,0.4,,,,,1059.21,0.3,,896.22,0.32,,729.15,0.52,,730.22,0.51,,686.74,0.38
,,1649.09,0.27,,1189.39,0.15,,1381.88,0.26,,1412.45,0.41,,881.22,0.4,,,,,1061.37,0.3,,898.06,0.32,,730.65,0.52,,731.72,0.51,,688.15,0.38
,,1652.43,0.27,,1191.82,0.15,,1384.69,0.26,,1415.32,0.41,,883.02,0.4,,,,,1063.54,0.3,,899.9,0.32,,732.15,0.52,,733.23,0.51,,689.57,0.38
,,1655.76,0.27,,1194.25,0.15,,1387.5,0.26,,1418.19,0.41,,884.82,0.4,,,,,1065.71,0.3,,901.75,0.32,,733.65,0.52,,734.74,0.51,,690.98,0.38
,,1659.1,0.27,,1196.67,0.15,,1390.31,0.26,,1421.06,0.4,,886.62,0.4,,,,,1067.87,0.3,,903.59,0.32,,735.15,0.52,,736.25,0.51,,692.39,0.38
,,1662.44,0.27,,1199.1,0.15,,1393.11,0.26,,1423.93,0.4,,888.42,0.4,,,,,1070.04,0.3,,905.43,0.32,,736.65,0.52,,737.75,0.51,,693.81,0.38
,,1665.77,0.27,,1201.53,0.15,,1395.92,0.26,,1426.8,0.4,,890.22,0.4,,,,,1072.21,0.3,,907.27,0.32,,738.15,0.52,,739.26,0.51,,695.22,0.38
,,1669.11,0.27,,1203.95,0.15,,1398.73,0.26,,1429.66,0.4,,892.02,0.4,,,,,1074.37,0.3,,909.12,0.32,,739.65,0.52,,740.77,0.51,,696.63,0.38
,,1672.45,0.27,,1206.38,0.15,,1401.55,0.26,,1432.53,0.4,,893.82,0.4,,,,,1076.54,0.3,,910.96,0.32,,741.15,0.52,,742.27,0.51,,698.04,0.38
,,1675.79,0.27,,1208.81,0.15,,1404.36,0.26,,1435.4,0.4,,895.63,0.4,,,,,1078.71,0.3,,912.8,0.32,,742.66,0.52,,743.78,0.51,,699.46,0.38
,,1679.12,0.27,,1211.23,0.15,,1407.17,0.26,,1438.27,0.4,,897.43,0.4,,,,,1080.87,0.3,,914.65,0.32,,744.16,0.52,,745.29,0.51,,700.87,0.38
,,1682.46,0.27,,1213.66,0.15,,1409.98,0.26,,1441.14,0.4,,899.23,0.4,,,,,1083.04,0.3,,916.49,0.32,,745.66,0.53,,746.79,0.51,,702.28,0.38
,,1685.8,0.27,,1216.09,0.15,,1412.79,0.26,,1444.01,0.4,,901.03,0.4,,,,,1085.21,0.3,,918.33,0.32,,747.16,0.53,,748.3,0.51,,703.7,0.38
,,1689.14,0.27,,1218.52,0.15,,1415.61,0.26,,1446.88,0.4,,902.83,0.4,,,,,1087.37,0.3,,920.18,0.33,,748.66,0.53,,749.81,0.51,,705.11,0.38
,,1692.48,0.27,,1220.94,0.15,,1418.42,0.26,,1449.74,0.4,,904.63,0.4,,,,,1089.54,0.3,,922.02,0.33,,750.16,0.53,,751.31,0.52,,706.52,0.39
,,1695.81,0.27,,1223.37,0.15,,1421.23,0.26,,1452.61,0.4,,906.43,0.4,,,,,1091.71,0.3,,923.86,0.33,,751.66,0.53,,752.82,0.52,,707.94,0.39
,,1699.15,0.27,,1225.8,0.15,,1424.04,0.26,,1455.48,0.4,,908.23,0.4,,,,,1093.87,0.3,,925.7,0.33,,753.16,0.53,,754.33,0.52,,709.35,0.39
,,1702.49,0.27,,1228.22,0.15,,1426.85,0.26,,1458.35,0.4,,910.03,0.4,,,,,1096.04,0.3,,927.55,0.33,,754.66,0.53,,755.83,0.52,,710.76,0.39
,,1705.83,0.27,,1230.65,0.15,,1429.67,0.26,,1461.22,0.4,,911.84,0.4,,,,,1098.21,0.3,,929.39,0.33,,756.16,0.53,,757.34,0.52,,712.18,0.39
,,1709.16,0.27,,1233.08,0.15,,1432.48,0.26,,1464.09,0.4,,913.64,0.4,,,,,1100.37,0.3,,931.23,0.33,,757.66,0.53,,758.85,0.52,,713.59,0.39
,,1712.5,0.27,,1235.5,0.15,,1435.29,0.26,,1466.96,0.4,,915.44,0.4,,,,,1102.54,0.3,,933.08,0.33,,759.16,0.53,,760.35,0.52,,715,0.39
,,1715.84,0.27,,1237.93,0.15,,1438.07,0.26,,1469.82,0.4,,917.24,0.4,,,,,1104.71,0.3,,934.92,0.33,,760.66,0.53,,761.86,0.52,,716.41,0.39
,,1719.18,0.27,,1240.36,0.15,,1440.82,0.26,,1472.69,0.4,,919.04,0.4,,,,,1106.87,0.3,,936.76,0.33,,762.17,0.53,,763.37,0.52,,717.83,0.39
,,1722.52,0.27,,1242.78,0.15,,1443.62,0.26,,1475.56,0.4,,920.84,0.4,,,,,1109.04,0.3,,938.61,0.33,,763.67,0.53,,764.87,0.52,,719.24,0.39
,,1725.85,0.27,,1245.21,0.15,,1446.43,0.26,,1478.43,0.4,,922.64,0.4,,,,,1111.21,0.3,,940.45,0.33,,765.17,0.53,,766.38,0.52,,720.65,0.39
,,1729.19,0.27,,1247.63,0.15,,1449.24,0.26,,1481.3,0.4,,924.44,0.41,,,,,1113.37,0.3,,942.3,0.33,,766.67,0.53,,767.89,0.52,,722.07,0.39
,,1732.53,0.27,,1250.06,0.15,,1452.05,0.26,,1484.17,0.4,,926.25,0.41,,,,,1115.54,0.3,,944.14,0.33,,768.17,0.53,,769.39,0.52,,723.48,0.39
,,1735.87,0.27,,1252.49,0.15,,1454.85,0.26,,1487.04,0.4,,928.05,0.41,,,,,1117.71,0.3,,945.99,0.33,,769.67,0.53,,770.9,0.52,,724.89,0.39
,,1739.21,0.27,,1254.91,0.15,,1457.66,0.26,,1489.9,0.4,,929.85,0.41,,,,,1119.87,0.3,,947.84,0.33,,771.17,0.53,,772.41,0.52,,726.31,0.39
,,1742.55,0.27,,1257.34,0.15,,1460.47,0.26,,1492.77,0.4,,931.65,0.41,,,,,1122.04,0.3,,949.68,0.33,,772.67,0.53,,773.91,0.52,,727.72,0.39
,,1745.89,0.27,,1259.77,0.15,,1463.28,0.26,,1495.64,0.4,,933.45,0.41,,,,,1124.21,0.3,,951.53,0.33,,774.17,0.53,,775.42,0.52,,729.13,0.39
,,1749.23,0.27,,1262.19,0.15,,1466.09,0.26,,1498.51,0.4,,935.25,0.41,,,,,1126.37,0.3,,953.38,0.33,,775.67,0.53,,776.93,0.52,,730.55,0.39
,,1752.58,0.27,,1264.62,0.15,,1468.89,0.26,,1501.38,0.4,,937.05,0.41,,,,,1128.54,0.3,,955.22,0.33,,777.17,0.53,,778.43,0.52,,731.96,0.39
,,1755.92,0.27,,1267.04,0.15,,1471.7,0.26,,1504.25,0.4,,938.85,0.41,,,,,1130.71,0.3,,957.07,0.33,,778.67,0.53,,779.94,0.52,,733.37,0.39
,,1759.26,0.27,,1269.47,0.15,,1474.51,0.26,,1507.12,0.4,,940.65,0.41,,,,,1132.87,0.3,,958.92,0.33,,780.18,0.53,,781.45,0.52,,734.78,0.39
,,1762.61,0.27,,1271.9,0.15,,1477.32,0.26,,1509.98,0.4,,942.45,0.41,,,,,1135.04,0.3,,960.76,0.33,,781.68,0.53,,782.95,0.52,,736.2,0.39
,,1765.95,0.27,,1274.32,0.15,,1480.12,0.26,,1512.85,0.4,,944.25,0.41,,,,,1137.21,0.3,,962.61,0.33,,783.18,0.53,,784.46,0.52,,737.61,0.39
,,1769.29,0.27,,1276.75,0.15,,1482.93,0.26,,1515.72,0.4,,946.05,0.41,,,,,1139.37,0.3,,964.45,0.33,,784.68,0.54,,785.96,0.52,,739.02,0.39
,,1772.63,0.27,,1279.17,0.15,,1485.74,0.25,,1518.59,0.4,,947.85,0.41,,,,,1141.54,0.3,,966.3,0.33,,786.18,0.54,,787.47,0.53,,740.44,0.39
,,1775.98,0.27,,1281.6,0.15,,1488.55,0.25,,1521.46,0.4,,949.65,0.41,,,,,1143.71,0.3,,968.15,0.33,,787.68,0.54,,788.98,0.53,,741.85,0.39
,,1779.32,0.27,,1284.03,0.15,,1491.36,0.25,,1524.32,0.4,,951.45,0.41,,,,,1145.87,0.3,,969.99,0.33,,789.18,0.54,,790.48,0.53,,743.26,0.39
,,1782.66,0.27,,1286.45,0.15,,1494.16,0.25,,1527.19,0.4,,953.25,0.41,,,,,1148.04,0.3,,971.84,0.33,,790.68,0.54,,791.99,0.53,,744.68,0.39
,,1786,0.27,,1288.88,0.15,,1496.97,0.25,,1530.06,0.4,,955.05,0.41,,,,,1150.21,0.3,,973.69,0.33,,792.18,0.54,,793.49,0.53,,746.09,0.39
,,1789.34,0.27,,1291.3,0.15,,1499.78,0.25,,1532.93,0.4,,956.85,0.41,,,,,1152.37,0.3,,975.53,0.33,,793.68,0.54,,795,0.53,,747.5,0.39
,,1792.68,0.27,,1293.73,0.15,,1502.58,0.25,,1535.79,0.4,,958.65,0.41,,,,,1154.54,0.3,,977.38,0.33,,795.18,0.54,,796.51,0.53,,748.92,0.39
,,1796.03,0.27,,1296.16,0.15,,1505.39,0.25,,1538.66,0.4,,960.45,0.41,,,,,1156.71,0.3,,979.22,0.33,,796.68,0.54,,798.01,0.53,,750.33,0.39
,,1799.37,0.27,,1298.58,0.15,,1508.2,0.25,,1541.53,0.4,,962.25,0.41,,,,,1158.87,0.3,,981.06,0.33,,798.18,0.54,,799.52,0.53,,751.74,0.39
,,1802.71,0.26,,1301.01,0.15,,1511,0.25,,1544.4,0.4,,964.05,0.41,,,,,1161.04,0.3,,982.91,0.33,,799.69,0.54,,801.03,0.53,,753.16,0.39
,,1806.05,0.26,,1303.43,0.15,,1513.81,0.25,,1547.26,0.4,,965.85,0.41,,,,,1163.21,0.3,,984.75,0.33,,801.19,0.54,,802.53,0.53,,754.57,0.39
,,1809.39,0.26,,1305.86,0.15,,1516.62,0.25,,1550.13,0.4,,967.65,0.41,,,,,1165.37,0.3,,986.59,0.33,,802.69,0.54,,804.04,0.53,,755.98,0.39
,,1812.73,0.26,,1308.28,0.15,,1519.42,0.25,,1553,0.4,,969.45,0.41,,,,,1167.54,0.29,,988.44,0.33,,804.19,0.54,,805.54,0.53,,757.39,0.39
,,1816.08,0.26,,1310.71,0.15,,1522.23,0.25,,1555.87,0.4,,971.25,0.41,,,,,1169.71,0.29,,990.28,0.33,,805.69,0.54,,807.05,0.53,,758.81,0.39
