Machine Name,Lloyd LRX ,P35-1,,,P35-2,,,P35-3,,,P35-4,,,P40-1,,,P40-2,,,P40-3,,,P40-4,,,P45-1,,,P45-2,,,P45-3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,213.26,0.2,,145.61,0.13,,173.92,0.21,,178.7,0.29,,107.13,0.28,,1185.65,0.35,,130.02,0.31,,105.67,0.26,,85.28,0.33,,84.18,0.33,,80.79,0.26
,,216.6,0.2,,148.03,0.13,,176.73,0.21,,181.57,0.29,,108.93,0.28,,1203.38,0.35,,132.19,0.31,,107.52,0.26,,86.78,0.33,,85.69,0.33,,82.2,0.26
,,219.94,0.2,,150.46,0.13,,179.54,0.21,,184.44,0.3,,110.73,0.28,,1221.11,0.35,,134.36,0.31,,109.36,0.26,,88.28,0.33,,87.19,0.33,,83.61,0.26
,,223.28,0.2,,152.89,0.14,,182.35,0.21,,187.31,0.3,,112.53,0.28,,1238.85,0.35,,136.53,0.32,,111.21,0.26,,89.78,0.33,,88.7,0.33,,85.02,0.26
,,226.62,0.2,,155.31,0.14,,185.16,0.21,,190.18,0.3,,114.33,0.29,,1256.59,0.35,,138.7,0.32,,113.05,0.26,,91.28,0.33,,90.21,0.33,,86.44,0.26
,,229.96,0.2,,157.74,0.14,,187.96,0.21,,193.05,0.3,,116.13,0.29,,1274.33,0.36,,140.87,0.32,,114.9,0.27,,92.78,0.34,,91.71,0.34,,87.85,0.26
,,233.3,0.2,,160.17,0.14,,190.77,0.21,,195.92,0.3,,117.93,0.29,,1292.06,0.36,,143.04,0.32,,116.74,0.27,,94.28,0.34,,93.22,0.34,,89.26,0.27
,,236.64,0.21,,162.59,0.14,,193.58,0.21,,198.79,0.3,,119.73,0.29,,1309.78,0.36,,145.21,0.32,,118.58,0.27,,95.78,0.34,,94.73,0.34,,90.68,0.27
,,239.97,0.21,,165.02,0.14,,196.39,0.21,,201.65,0.3,,121.53,0.29,,1327.52,0.35,,147.37,0.32,,120.43,0.27,,97.28,0.34,,96.23,0.34,,92.09,0.27
,,243.32,0.21,,167.45,0.14,,199.2,0.21,,204.52,0.3,,123.33,0.29,,1345.26,0.35,,149.54,0.32,,122.27,0.27,,98.78,0.34,,97.74,0.34,,93.5,0.27
,,246.66,0.2,,169.87,0.14,,202,0.21,,207.39,0.3,,125.13,0.29,,1363,0.35,,151.71,0.32,,124.12,0.27,,100.28,0.34,,99.24,0.34,,94.91,0.27
,,250,0.2,,172.3,0.14,,204.81,0.21,,210.26,0.3,,126.93,0.29,,1380.75,0.35,,153.88,0.32,,125.96,0.27,,101.78,0.34,,100.75,0.34,,96.33,0.27
,,253.34,0.21,,174.73,0.14,,207.62,0.21,,213.13,0.3,,128.73,0.29,,1398.49,0.35,,156.05,0.32,,127.81,0.27,,103.28,0.34,,102.26,0.34,,97.74,0.27
,,256.68,0.21,,177.15,0.14,,210.43,0.21,,216,0.3,,130.53,0.3,,1416.3,0.35,,158.21,0.32,,129.65,0.27,,104.78,0.35,,103.76,0.35,,99.15,0.28
,,260.02,0.21,,179.58,0.14,,213.25,0.21,,218.87,0.3,,132.33,0.3,,1434.03,0.35,,160.38,0.32,,131.5,0.27,,106.28,0.35,,105.27,0.35,,100.56,0.28
,,263.36,0.21,,182,0.14,,216.06,0.21,,221.74,0.3,,134.13,0.3,,1451.77,0.35,,162.55,0.32,,133.34,0.28,,107.78,0.35,,106.78,0.35,,101.98,0.28
,,266.7,0.21,,184.43,0.14,,218.87,0.21,,224.61,0.3,,135.93,0.3,,1469.51,0.35,,164.72,0.32,,135.18,0.28,,109.28,0.35,,108.28,0.35,,103.39,0.28
,,270.04,0.21,,186.85,0.14,,221.68,0.21,,227.51,0.3,,137.73,0.3,,1487.25,0.35,,166.89,0.33,,137.03,0.28,,110.78,0.35,,109.79,0.35,,104.8,0.28
,,273.38,0.21,,189.28,0.14,,224.5,0.21,,230.44,0.3,,139.53,0.3,,1504.97,0.34,,169.06,0.33,,138.87,0.28,,112.28,0.35,,111.3,0.35,,106.21,0.28
,,276.72,0.21,,191.71,0.14,,227.3,0.21,,233.31,0.31,,141.33,0.3,,1522.7,0.34,,171.22,0.33,,140.72,0.28,,113.78,0.35,,112.8,0.35,,107.63,0.28
,,280.06,0.21,,194.13,0.14,,230.11,0.21,,236.18,0.31,,143.13,0.3,,1540.52,0.34,,173.39,0.33,,142.56,0.28,,115.28,0.36,,114.31,0.35,,109.04,0.28
,,283.4,0.21,,196.56,0.14,,232.92,0.21,,239.05,0.31,,144.93,0.3,,1558.25,0.34,,175.56,0.33,,144.4,0.28,,116.78,0.36,,115.82,0.35,,110.45,0.28
,,286.74,0.21,,198.98,0.14,,235.73,0.21,,241.92,0.31,,146.73,0.3,,1575.99,0.34,,177.73,0.33,,146.25,0.28,,118.28,0.36,,117.32,0.36,,111.86,0.28
,,290.08,0.21,,201.41,0.14,,238.54,0.21,,244.79,0.31,,148.53,0.3,,1593.72,0.34,,179.9,0.33,,148.09,0.28,,119.78,0.36,,118.83,0.36,,113.28,0.28
,,293.42,0.21,,203.84,0.14,,241.35,0.22,,247.66,0.31,,150.33,0.3,,1611.47,0.34,,182.06,0.33,,149.93,0.28,,121.28,0.36,,120.33,0.36,,114.69,0.29
,,296.76,0.21,,206.27,0.14,,244.16,0.22,,250.53,0.31,,152.13,0.3,,1629.2,0.33,,184.19,0.33,,151.78,0.28,,122.78,0.36,,121.84,0.36,,116.1,0.29
,,300.1,0.21,,208.69,0.14,,246.97,0.22,,253.39,0.31,,153.93,0.3,,1646.93,0.33,,186.32,0.33,,153.62,0.28,,124.28,0.36,,123.35,0.36,,117.52,0.29
,,303.44,0.21,,211.12,0.14,,249.77,0.22,,256.26,0.31,,155.73,0.3,,1664.66,0.33,,188.49,0.33,,155.46,0.28,,125.78,0.36,,124.85,0.36,,118.93,0.29
,,306.78,0.21,,213.55,0.14,,252.58,0.22,,259.13,0.31,,157.53,0.3,,1682.41,0.33,,190.65,0.33,,157.3,0.28,,127.28,0.37,,126.36,0.36,,120.34,0.29
,,310.12,0.21,,215.97,0.14,,255.39,0.21,,262,0.31,,159.33,0.3,,1700.17,0.33,,192.82,0.33,,159.15,0.28,,128.78,0.37,,127.87,0.36,,121.75,0.29
,,313.46,0.21,,218.4,0.14,,258.2,0.21,,264.87,0.31,,161.13,0.3,,1717.92,0.32,,194.99,0.33,,160.99,0.28,,130.28,0.37,,129.37,0.36,,123.17,0.29
,,316.8,0.21,,220.83,0.14,,261.01,0.21,,267.74,0.31,,162.93,0.3,,1735.69,0.02,,197.16,0.33,,162.83,0.28,,131.78,0.37,,130.88,0.37,,124.58,0.29
,,320.15,0.21,,223.26,0.14,,263.82,0.21,,270.61,0.31,,164.73,0.3,,,,,199.32,0.33,,164.68,0.28,,133.28,0.37,,132.39,0.37,,125.99,0.29
,,323.49,0.21,,225.68,0.14,,266.63,0.21,,273.48,0.31,,166.53,0.3,,,,,201.49,0.33,,166.52,0.28,,134.78,0.37,,133.89,0.37,,127.4,0.29
,,326.83,0.21,,228.11,0.14,,269.44,0.21,,276.35,0.31,,168.33,0.3,,,,,203.66,0.33,,168.36,0.28,,136.28,0.37,,135.4,0.37,,128.82,0.29
,,330.17,0.21,,230.54,0.14,,272.25,0.21,,279.22,0.31,,170.13,0.3,,,,,205.83,0.33,,170.21,0.28,,137.78,0.37,,136.91,0.37,,130.23,0.29
,,333.51,0.21,,232.96,0.14,,275.05,0.21,,282.09,0.31,,171.93,0.3,,,,,207.99,0.33,,172.05,0.28,,139.28,0.37,,138.41,0.37,,131.64,0.29
,,336.84,0.21,,235.39,0.14,,277.86,0.21,,284.96,0.31,,173.73,0.3,,,,,210.16,0.33,,173.89,0.28,,140.78,0.37,,139.92,0.37,,133.05,0.29
,,340.18,0.21,,237.82,0.14,,280.67,0.21,,287.82,0.31,,175.53,0.3,,,,,212.33,0.33,,175.73,0.28,,142.28,0.37,,141.42,0.37,,134.47,0.29
,,343.52,0.21,,240.25,0.15,,283.48,0.21,,290.69,0.31,,177.33,0.3,,,,,214.5,0.33,,177.58,0.28,,143.79,0.38,,142.93,0.38,,135.88,0.29
,,346.86,0.21,,242.67,0.15,,286.29,0.21,,293.56,0.31,,179.13,0.3,,,,,216.66,0.33,,179.42,0.28,,145.29,0.38,,144.44,0.38,,137.29,0.3
,,350.2,0.21,,245.1,0.15,,289.1,0.21,,296.43,0.31,,180.93,0.3,,,,,218.83,0.33,,181.26,0.28,,146.79,0.38,,145.94,0.38,,138.7,0.3
,,353.54,0.21,,247.53,0.15,,291.91,0.21,,299.3,0.31,,182.73,0.3,,,,,221,0.33,,183.11,0.29,,148.29,0.38,,147.45,0.38,,140.12,0.3
,,356.88,0.21,,249.95,0.15,,294.72,0.21,,302.17,0.31,,184.53,0.3,,,,,223.16,0.33,,184.95,0.29,,149.79,0.38,,148.96,0.38,,141.53,0.3
