Machine Name,Bruker Avance III HD 600 MHz,,P40 - C NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 4096 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,1.08,849.75
,,,1.08,1827
,,,1.08,1976.97
,,,1.08,1429.45
,,,1.08,912.41
,,,1.09,729.18
,,,1.09,504.6
,,,1.09,-2.06
,,,1.09,-438.97
,,,1.09,-248.27
,,,1.1,487.11
,,,1.1,1184.95
,,,1.1,1755.04
,,,1.1,2395.39
,,,1.1,2923.65
,,,1.1,3020.95
,,,1.11,2566.91
,,,1.11,1798.72
,,,1.11,1063.19
,,,1.11,223.63
,,,1.11,-906.14
,,,1.12,-1924.92
,,,1.12,-2490.67
,,,1.12,-2806.99
,,,1.12,-3056.83
,,,1.12,-3102.07
,,,1.12,-2964.25
,,,1.13,-3020.56
,,,1.13,-3329.19
,,,1.13,-3329.71
,,,1.13,-2650.56
,,,1.13,-1697.78
,,,1.14,-1198.28
,,,1.14,-1338.14
,,,1.14,-1602.14
,,,1.14,-1680.07
,,,1.14,-1865.09
,,,1.14,-2264.41
,,,1.15,-2603.7
,,,1.15,-2750.18
,,,1.15,-2649.86
,,,1.15,-2242.45
,,,1.15,-1694.77
,,,1.16,-1183.3
,,,1.16,-645
,,,1.16,-4.47
,,,1.16,635.79
,,,1.16,1049.4
,,,1.17,1170.94
,,,1.17,1363.6
,,,1.17,2001.46
,,,1.17,2957.52
,,,1.17,3959.12
,,,1.17,4943.61
,,,1.18,5819.36
,,,1.18,6406.84
,,,1.18,6634.36
,,,1.18,6629.66
,,,1.18,6542.08
,,,1.19,6152.39
,,,1.19,5142.47
,,,1.19,3791.77
,,,1.19,2705.54
,,,1.19,2120.68
,,,1.19,1854.79
,,,1.2,1513.77
,,,1.2,811.13
,,,1.2,-126.16
,,,1.2,-941.57
,,,1.2,-1405.5
,,,1.21,-1506.92
,,,1.21,-1336.68
,,,1.21,-987.34
,,,1.21,-539.65
,,,1.21,72.65
,,,1.21,939.54
,,,1.22,1684.85
,,,1.22,1751.76
,,,1.22,1212.71
,,,1.22,541.53
,,,1.22,-118.06
,,,1.23,-851.2
,,,1.23,-1569.26
,,,1.23,-2051.19
,,,1.23,-2025.7
,,,1.23,-1222.31
,,,1.23,319.58
,,,1.24,2200.75
,,,1.24,4004.97
,,,1.24,5473.96
,,,1.24,6568.71
,,,1.24,7278.5
,,,1.25,7340.5
,,,1.25,6709
,,,1.25,5772.66
,,,1.25,4755.8
,,,1.25,3847.68
,,,1.25,3372.62
,,,1.26,3195.77
,,,1.26,3026.99
,,,1.26,2963.89
