Machine Name,Lloyd LRX ,P35 Undamaged,1,,,2,,,3,,,4,,,P35 1 hr healing,1,,,2,,,3,,,P35 3 hr healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.91,0,,-8.51,0
,,,213.26,0.2,,145.61,0.13,,173.92,0.21,,178.7,0.29,,,57.8,0.16,,49.11,0.13,,53.83,0.22,,,65.82,0.17,,85.6,0.16,,78.04,0.13
,,,216.6,0.2,,148.03,0.13,,176.73,0.21,,181.57,0.29,,,58.88,0.16,,50.05,0.13,,54.76,0.22,,,67,0.17,,86.99,0.16,,79.5,0.13
,,,219.94,0.2,,150.46,0.13,,179.54,0.21,,184.44,0.3,,,59.96,0.16,,51,0.13,,55.69,0.22,,,68.19,0.17,,88.39,0.16,,80.96,0.13
,,,223.28,0.2,,152.89,0.14,,182.35,0.21,,187.31,0.3,,,61.04,0.16,,51.95,0.13,,56.62,0.22,,,69.37,0.17,,89.79,0.16,,82.42,0.13
,,,226.62,0.2,,155.31,0.14,,185.16,0.21,,190.18,0.3,,,62.12,0.16,,52.89,0.13,,57.55,0.22,,,70.56,0.17,,91.19,0.16,,83.88,0.13
,,,229.96,0.2,,157.74,0.14,,187.96,0.21,,193.05,0.3,,,63.2,0.16,,53.84,0.13,,58.48,0.22,,,71.74,0.17,,92.59,0.16,,85.34,0.13
,,,233.3,0.2,,160.17,0.14,,190.77,0.21,,195.92,0.3,,,64.28,0.16,,54.78,0.13,,59.41,0.23,,,72.92,0.17,,93.99,0.16,,86.8,0.13
,,,236.64,0.21,,162.59,0.14,,193.58,0.21,,198.79,0.3,,,65.36,0.17,,55.73,0.14,,60.34,0.23,,,74.11,0.17,,95.39,0.16,,88.26,0.13
,,,239.97,0.21,,165.02,0.14,,196.39,0.21,,201.65,0.3,,,66.44,0.17,,56.67,0.14,,61.27,0.23,,,75.29,0.18,,96.78,0.16,,89.72,0.13
,,,243.32,0.21,,167.45,0.14,,199.2,0.21,,204.52,0.3,,,67.52,0.17,,57.62,0.14,,62.2,0.23,,,76.48,0.18,,98.18,0.16,,91.18,0.13
