Machine Name,Agilent 1260 Infinity II GPC,P35,,,P40,,,P45,
,"2 x PLgel 5 ?m MIXED-C columns (polystyrene-divinylbenzene (PS/DVB), as well as a PLgel 5 ?m guard column at 35 °C and a flow rate of 1.0 mL.min-1 with THF containing 2.0% v/v triethylamine and 0.05% w/v BHT inhibitor as solvent.",logM,dwdlogM,,logM,dwdlogM,,logM,dwdlogM
,,5.3,0.01,,4.83,0.59,,5.52,0
,,5.29,0.01,,4.82,0.6,,5.52,0
,,5.29,0.02,,4.82,0.61,,5.52,0
,,5.29,0.02,,4.81,0.61,,5.51,0
,,5.28,0.02,,4.81,0.62,,5.51,0
,,5.28,0.02,,4.81,0.63,,5.5,0
,,5.27,0.02,,4.8,0.64,,5.5,0
,,5.27,0.02,,4.8,0.65,,5.5,0
,,5.27,0.02,,4.79,0.65,,5.49,0
,,5.26,0.02,,4.79,0.66,,5.49,0
,,5.26,0.02,,4.79,0.67,,5.48,0
,,5.25,0.02,,4.78,0.68,,5.48,0
,,5.25,0.02,,4.78,0.69,,5.48,0
,,5.25,0.02,,4.77,0.7,,5.47,0
,,5.24,0.02,,4.77,0.7,,5.47,0
,,5.24,0.03,,4.77,0.71,,5.46,0
,,5.23,0.03,,4.76,0.72,,5.46,0
,,5.23,0.03,,4.76,0.73,,5.46,0
,,5.23,0.03,,4.75,0.74,,5.45,0
,,5.22,0.03,,4.75,0.74,,5.45,0
,,5.22,0.03,,4.75,0.75,,5.44,0
,,5.21,0.03,,4.74,0.76,,5.44,0
,,5.21,0.03,,4.74,0.77,,5.44,0
,,5.21,0.04,,4.73,0.78,,5.43,0
,,5.2,0.04,,4.73,0.78,,5.43,0
,,5.2,0.04,,4.73,0.79,,5.42,0
,,5.19,0.04,,4.72,0.8,,5.42,0
,,5.19,0.04,,4.72,0.81,,5.42,0
,,5.19,0.04,,4.71,0.81,,5.41,0
,,5.18,0.04,,4.71,0.82,,5.41,0
,,5.18,0.05,,4.71,0.83,,5.4,0
,,5.17,0.05,,4.7,0.84,,5.4,0
,,5.17,0.05,,4.7,0.84,,5.4,0
,,5.17,0.05,,4.69,0.85,,5.39,0
,,5.16,0.05,,4.69,0.86,,5.39,0
,,5.16,0.06,,4.69,0.86,,5.38,0
